names	batch	publicadas	rna	QC
GNT28	1	N	N	Failed
GNT7B	1	N	N	Failed
GNT8	1	N	N	Failed
GTO11PO1	1	N	N	Failed
GTO7	1	N	N	Failed
GTO7B	1	N	N	Failed
GTT1	1	Y	Y	Passed
GTT28	1	Y	Y	Passed
GTT7BPO1	1	N	Y	Failed
GTT7BPO2	1	N	Y	Failed
GTT8P1	1	N	Y	Failed
GTT8P2	1	N	Y	Failed
GNT12	2	N	N	Failed
GTT12B-1	2	N	Y	Failed
GTT12B-2	2	N	Y	Failed
GTT12-P01	2	N	Y	Failed
GTT12-P02	2	N	Y	Failed
GTT12-P03	2	N	Y	Passed
GTT29	2	N	Y	Failed
GTT34-1	2	N	Y	Failed
GTT34-2	2	N	Y	Failed
GTT34B	2	N	Y	Failed
GTT36	2	Y	Y	Passed
GTT36B	2	N	Y	Failed
GTT18	3	Y	Y	Passed
GTT21	3	Y	Y	Passed
GTT33	3	N	Y	Passed
GTT39	3	Y	Y	Passed
GTT42	3	Y	Y	Passed
GTT44	3	Y	Y	Passed
GTT47	3	Y	Y	Passed
GTT48	3	N	Y	Passed
GTT51	3	Y	Y	Passed
GTT53	3	Y	Y	Passed
GTT57	3	Y	Y	Passed
GTT59	3	N	Y	Failed
GTT3	4	Y	Y	Passed
GTT22	4	Y	Y	Passed
GTT37	4	Y	Y	Passed
GTT38	4	Y	Y	Passed
GTT52	4	Y	Y	Passed
GTT54	4	Y	Y	Passed
GTT55	4	Y	Y	Passed
GTT63	4	N	Y	Passed
GTT64	4	Y	Y	Passed
GTT68	4	Y	Y	Passed
GTT74	4	Y	Y	Passed
GTT75	4	N	Y	Failed
S495	5	NA	Y	Failed
S496	5	NA	Y	Failed
S498	5	NA	Y	Failed
S901	5	NA	Y	Failed
S922	5	NA	Y	Failed
